content_id,value,context_code
1746,And Displays,also_known_as
1747,And Optoelectronics,also_known_as
1748,Anderson Power,also_known_as
1748,Anderson Power Products,also_known_as
1748,APP,acronym
1749,Anixter,short_name
1749,Anixter Italia srl,division_of
1750,Anritsu,short_name
1751,Antenova,short_name
1751,GigaAnt,acquired_by
1752,Apem,short_name
1752,Oliver Control Systems Inc,acquired_by
1753,API Delevan,short_name
1753,Harowe Resolvers,brand_of
1753,Harowe Servo Controls,acquired_by
1754,APM,abbreviation
1754,APM Hexseal,also_known_as
1755,AEP Connectors,also_known_as
1755,Applied Engineering Products,also_known_as
1756,AMCC,abbreviation
1756,AMCC,also_known_as
1756,AMCC Sales Corporation,also_known_as
1756,AppliedMicro,also_known_as
1756,Applied Micro Circuits,also_known_as
1756,Applied Micro Circuits Corporation,also_known_as
1756,MMC Networks,acquired_by
1757,Applied Power Systems,also_known_as
1757,APS,acronym
1758,Aptronics,short_name
1759,Aries,short_name
1759,Aries Electronics,also_known_as
1760,ARM,abbreviation
1760,CoreLink Interconnect,brand_of
1760,Keil Tools by ARM,acquired_by
1760,Mbed,brand_of
1760,Seninode Ltd,acquired_by
1761,ARO,abbreviation
1761,ARO,also_known_as
1762,Array Connector,also_known_as
1763,Artisan,short_name
1763,Artisan Controls,also_known_as
1764,Asahi Rubber,also_known_as
1765,American Shizuki Corporation,also_known_as
1765,ASC,abbreviation
1765,ASC Capacitors,also_known_as
1765,ShiZuki Electric Group,division_of
1766,Asiliant,short_name
1766,Asiliant Technologies,also_known_as
1767,Assmann,short_name
1768,Astro Tool,short_name
1769,Astrodyne,short_name
1769,LCR Electronics,formerly_known_as
1769,RO Associates Inc,acquired_by
1770,Atcomponents,also_known_as
1771,ATI Technologies,also_known_as
1771,Radeon,brand_of
1771,Rage XL,brand_of
1772,Aero Tec Laboratories Inc (ATL),previous_name_value
1772,ATL,abbreviation
1773,Atmel,short_name
1773,Atmel Wireless & Microcontrollers,also_known_as
1773,MHS Electronics SAS,division_of
1773,Temic Semiconductors,acquired_by
1774,Auk,short_name
1774,AUK Inc,previous_name_value
1774,Kodenshi AUK,also_known_as
1775,Ault,merged_into
1775,Condor,merged_into
1776,Austin Semiconductor,formerly_known_as
1776,Austin Semiconductor,also_known_as
1776,Continental Connector,acquired_by
1777,Autopslice Innovative Interconnections,also_known_as
1777,Autosplice,short_name
1778,Avago,short_name
1779,Aven,short_name
1780,Avery Dennison,also_known_as
1781,American KSS,acquired_by
1781,American Technical Ceramics Inc,acquired_by
1781,AVX,short_name
1781,AVX Corporation,formerly_known_as
1781,AVX Corporation,previous_name_value
1781,ELCO,division_of
1781,KYOCERA AVX Components Corporation,also_known_as
1781,Nichicon Tantalum Capacitors,acquired_by
1781,Thomson Passive Components,acquired_by
1782,AVX Elco,short_name
1782,KYOCERA ELCO Corporation,formerly_known_as
1783,Axiom,short_name
1784,American Zettler Displays,also_known_as
1784,AZ Displays,short_name
1784,ZETTLER Components Inc,division_of
1785,B&K,short_name
1785,B K Precision,also_known_as
1786,Bb Battery,short_name
1786,B.B. Battery,also_known_as
1786,BB Tech Changsha Co Ltd,also_known_as
1787,Banner Engineering,formerly_known_as
1788,Barker Microfarads,also_known_as
1788,BMI,acronym
1789,Bel Fuse,short_name
1789,Bel Integerated Modules,division_of
1789,Bel Magnetics,division_of
1789,Bel Power,division_of
1789,Galaxy Power,acquired_by
1789,GigaCom Interconnect,division_of
1789,Signal Transformer Co Inc,acquired_by
1790,Belden Cable,also_known_as
1790,Belden Wire Cable,also_known_as
1790,Cable Design Technologies Corporation,merged_into
1790,Cable Pro,brand_of
1790,GarretCom,brand_of
1790,Grass Valley,brand_of
1790,Hirschmann,brand_of
1790,ICM Corporation,brand_of
1790,Lumberg Automation,brand_of
1790,Miranda,brand_of
1790,Poliron,brand_of
1790,PPC,brand_of
1790,ProSoft Technology,brand_of
1790,Tofino Security,brand_of
1790,West Penn Wire,brand_of
1791,Bergquist,short_name
1792,Berk-Tek,short_name
1792,BERK-TEK,formerly_known_as
1792,FILOTEX,trademark_of
1792,Intercond,acquired_by
1793,Bh Electronics,also_known_as
1794,Beckman,formerly_known_as
1794,Bi Technologies,also_known_as
1794,Colvern LTD,acquired_by
1794,Helipot,trademark_of
1794,TT electronics plc,division_of
1795,Bhc Components Kemet,also_known_as
1796,Birnbach Wire,also_known_as
1797,Bivar,short_name
1797,Bivar,previous_name_value
1798,Black Box,short_name
1798,Black Box Network Services,also_known_as
1799,Blockmaster Electronics,previous_name_value
1799,Blockmaster Electronics,also_known_as
1800,Bogen,short_name
1800,Bogen Communications,previous_name_value
1800,Bogen Communications,also_known_as
1801,Bomar,short_name
1801,Bomar Interconnect,also_known_as
1802,Bondhus,short_name
1802,Bondhus,previous_name_value
1803,Bourns,short_name
1803,BOURNS LTD,also_known_as
1803,ChipGuard,brand_of
1803,Fultec Semiconductor Inc,acquired_by
1803,Multifuse,trademark_of
1804,Box Enclosures,also_known_as
1805,Brad Connectivity,also_known_as
1805,Brad Harrison,also_known_as
1805,Molex / Brad Harrison,previous_name_value
1806,Brady,short_name
1806,Brady Corporation,previous_name_value
1806,W.H. Brady,formerly_known_as
1807,Allayer Technologies,acquired_by
1807,Altima Communications,acquired_by
1807,Broadcom,short_name
1807,BroadLight,acquired_by
1807,Dune Networks,acquired_by
1807,Dune Semiconductors,formerly_known_as
1807,Provigent,acquired_by
1807,Server Works,mis-spelling
1807,ServerWorks,acquired_by
1807,Siliquent Technologies,acquired_by
1807,Teknovus,acquired_by
1808,Buchanan,short_name
1809,Bud,short_name
1809,Bud Industries,also_known_as
1809,Bud Industries Inc,previous_name_value
1810,Building Fasteners,also_known_as
1811,Arcoelectric,merged_into
1811,Bulgin,short_name
1811,Bulgin / Elektron Components Ltd,previous_name_value
1811,Elektron Technology,merged_into
1812,A J Cocker & W Turner,division_of
1812,Butterworth Heinemann,also_known_as
1812,Butterworth Heinemann,previous_name_value
1813,C & D Technologies,also_known_as
1813,C D Technologies,also_known_as
1813,C&D Technologies,previous_name_value
1813,Power Convertables Corporation,acquired_by
1814,C & K,short_name
1814,C K,short_name
1814,C & K Components,also_known_as
1814,C&K Components,previous_name_value
1814,C&K Components,formerly_known_as
1815,Carl Kammerling International Ltd.,parent_of
1815,C.K.,short_name
1815,CK Tools,short_name
1816,C3 semi,previous_name_value
1816,C3 Semi,short_name
1816,C3Semi,short_name
1817,Caddell Burns,also_known_as
1818,Caddock,short_name
1819,Caig,short_name
1819,Caig Laboratories,also_known_as
1820,Cal-Chip,short_name
1820,Cal-Chip Electronics,also_known_as
1821,Calex,short_name
1821,Calex Mfg Co,previous_name_value
1822,California Eastern Laboratories,also_known_as
1822,CEL,abbreviation
1823,California Micro Devices,also_known_as
1823,CMD,also_known_as
1823,CMD,short_name
1824,Calmark,short_name
1825,Calogic,short_name
1825,Calogic LLC,previous_name_value
1826,Cambion,short_name
1826,Cambion Electronics Ltd,previous_name_value
1826,Cambridge Thermionic,formerly_known_as
1826,Interconnection Products,formerly_known_as
1826,IPC,formerly_known_as
1826,Wearnes Cambion,also_known_as
1826,Wearnes Technology,division_of
1827,Canadian Thermostats & Control Devices Ltd (Cantherm),previous_name_value
1827,Cantherm,short_name
1828,Capital Advanced,also_known_as
